0.033	0.424
0.067	0.394
0.100	0.491
0.133	0.423
0.167	0.423
0.200	0.457
0.233	0.489
0.267	0.587
0.300	0.652
0.334	0.750
0.367	0.814
0.400	0.783
0.434	0.815
0.467	0.848
0.500	0.783
0.534	0.912
0.567	1.274
0.600	1.110
0.634	0.814
0.667	1.044
0.700	1.108
0.734	1.044
0.767	1.077
0.800	1.241
0.834	1.210
0.867	1.174
0.901	1.271
0.934	1.175
0.967	1.338
1.001	1.499
1.034	1.173
1.067	1.209
1.101	1.371
1.134	1.240
1.167	1.371
1.201	1.402
1.234	1.337
1.267	1.337
1.301	1.534
1.334	1.501
1.367	1.241
1.401	1.435
1.434	1.470
1.468	1.338
1.501	1.435
1.534	1.436
1.568	1.304
1.601	1.336
1.634	1.434
1.668	1.272
1.701	1.306
1.734	1.534
1.768	1.437
1.801	1.341
1.834	1.404
1.868	1.466
1.901	1.529
1.934	1.435
1.968	1.273
2.001	1.468
2.035	1.598
2.068	1.532
2.101	1.500
2.135	1.403
2.168	1.405
2.201	1.273
2.235	1.402
2.268	1.468
2.301	1.402
2.335	1.532
2.368	1.369
2.401	1.599
2.435	1.599
2.468	1.238
2.501	1.337
2.535	1.630
2.568	1.500
2.602	1.469
2.635	1.598
2.668	1.436
2.702	1.469
2.735	1.369
2.768	1.596
