0.033	0.295
0.067	0.207
0.100	0.118
0.133	0.354
0.167	0.266
0.200	0.118
0.234	0.207
0.267	0.295
0.300	0.354
0.334	0.354
0.367	0.236
0.400	0.413
0.434	0.531
0.467	0.472
0.500	0.531
0.534	0.413
0.567	0.413
0.600	0.531
0.634	0.531
0.667	0.384
0.701	0.413
0.867	0.590
0.901	0.708
0.934	0.590
0.967	0.295
1.001	0.472
1.034	0.708
1.067	0.531
1.101	0.502
1.134	0.561
1.168	0.708
1.201	0.620
1.234	0.384
1.268	0.708
1.301	0.767
1.334	0.531
1.368	0.590
1.401	0.531
1.434	0.590
1.468	0.649
1.501	0.649
1.534	0.518
1.568	0.576
1.601	0.767
1.635	0.531
1.668	0.561
1.701	0.679
1.735	0.679
1.768	0.620
1.801	0.354
1.835	0.561
1.868	0.767
1.901	0.679
1.935	0.649
1.968	0.679
2.001	0.620
2.035	0.443
2.068	0.620
2.102	0.626
2.135	0.590
2.168	0.443
2.202	0.797
2.235	0.697
2.268	0.443
2.302	0.620
2.335	0.531
2.368	0.472
2.402	0.944
2.435	0.826
2.468	0.354
2.502	0.443
2.535	0.885
2.569	0.590
2.602	0.413
2.635	0.649
2.669	0.826
2.702	0.708
2.735	0.531
2.769	0.649
2.802	0.590
2.835	0.590
2.869	0.620
2.902	0.649
2.935	0.649
2.969	0.590
3.002	0.856
3.036	0.649
3.069	0.531
3.102	0.738
3.136	0.531
3.169	0.767
3.202	0.708
3.236	0.502
3.269	0.649
3.302	0.590
3.336	0.590
3.369	0.826
3.402	0.472
3.436	0.531
3.469	0.797
3.503	0.531
3.536	0.649
3.569	0.679
3.603	0.620
3.636	0.561
3.669	0.620
3.703	0.738
3.736	0.590
3.769	0.484
3.803	0.590
3.836	0.649
3.869	0.576
3.903	0.749
3.936	0.679
3.970	0.561
4.003	0.649
4.036	0.679
4.070	0.708
4.103	0.944
4.136	0.620
4.170	0.531
4.203	0.590
4.236	0.531
4.270	0.649
4.303	0.620
4.336	0.620
4.370	0.561
4.403	0.502
4.437	0.738
4.470	0.738
4.503	0.738
4.537	0.649
