0.033	0.383
0.067	0.384
0.100	0.268
0.133	0.230
0.167	0.232
0.200	0.384
0.234	0.459
0.267	0.421
0.300	0.497
0.334	0.461
0.367	0.536
0.400	0.344
0.434	0.536
0.467	0.844
0.500	0.654
0.534	0.769
0.567	0.843
0.600	0.613
0.634	0.654
0.667	0.540
0.701	0.690
0.734	0.954
0.767	0.806
0.801	0.806
0.834	0.729
0.867	0.711
0.901	0.857
0.934	0.881
0.967	0.809
1.001	0.921
1.034	0.879
1.068	0.881
1.101	0.844
1.134	0.806
1.168	0.843
1.201	0.811
1.234	0.770
1.268	0.916
1.301	0.848
1.334	0.884
1.368	1.031
1.401	0.842
1.435	0.921
1.468	0.919
1.501	0.881
1.535	0.769
1.568	1.075
1.601	1.151
1.635	0.916
1.668	0.842
1.701	0.767
1.735	0.919
1.768	0.885
1.801	0.995
1.835	1.031
1.868	0.692
1.902	0.959
1.935	1.419
1.968	0.808
2.002	0.693
2.035	1.033
2.068	0.764
2.102	0.502
2.135	1.032
2.168	1.219
2.202	0.879
2.235	1.039
2.269	1.039
2.302	0.881
2.335	0.840
2.369	0.918
2.402	0.849
2.435	0.771
2.469	1.226
2.502	1.067
2.535	0.761
2.569	1.419
2.602	0.923
2.635	0.310
2.669	0.838
2.702	1.068
2.736	0.924
2.769	0.922
2.802	1.304
2.836	0.960
2.869	0.685
2.902	0.916
2.936	0.845
2.969	0.924
3.002	0.922
3.036	0.997
3.069	1.071
3.103	0.917
3.136	0.764
3.169	0.785
3.203	1.121
3.236	1.033
3.269	0.807
3.303	0.996
3.336	0.957
3.369	1.338
3.403	0.995
3.436	0.424
3.470	1.304
3.503	1.299
3.536	0.609
3.570	0.732
3.603	1.000
3.636	1.148
3.670	0.995
3.703	1.070
3.736	1.149
3.770	0.766
3.803	0.687
3.836	0.728
3.870	0.881
3.903	1.153
3.937	0.958
3.970	0.765
4.003	0.922
4.037	1.069
4.070	1.073
4.103	1.074
4.137	0.991
